"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"azir",34,"irelia",16,"lissandra",13,"sona",11,"nunu",8
"ryze",25,"sejuani",16,"lux",13,"swain",11,"shaco",8
"lucian",21,"syndra",16,"malzahar",13,"xinzhao",11,"taric",8
"rengar",21,"fiora",15,"missfortune",13,"ziggs",11,"tryndamere",8
"khazix",20,"fizz",15,"quinn",13,"zilean",11,"velkoz",8
"kindred",20,"gangplank",15,"renekton",13,"camille",10,"warwick",8
"reksai",20,"gnar",15,"sivir",13,"illaoi",10,"amumu",7
"shen",20,"ivern",15,"skarner",13,"janna",10,"annie",7
"cassiopeia",19,"jarvaniv",15,"trundle",13,"karthus",10,"heimerdinger",7
"zed",19,"katarina",15,"twitch",13,"lulu",10,"kaisa",7
"aatrox",18,"kogmaw",15,"urgot",13,"nocturne",10,"malphite",7
"akali",18,"leesin",15,"yorick",13,"orianna",10,"teemo",7
"caitlyn",18,"nautilus",15,"zyra",13,"pantheon",10,"udyr",7
"corki",18,"tahmkench",15,"alistar",12,"rakan",10,"xerath",7
"graves",18,"tristana",15,"garen",12,"riven",10,"draven",6
"leblanc",18,"yasuo",15,"karma",12,"talon",10,"kled",6
"maokai",18,"hecarim",14,"ornn",12,"thresh",10,"nasus",6
"nidalee",18,"poppy",14,"soraka",12,"vi",10,"olaf",6
"shyvana",18,"rammus",14,"varus",12,"vladimir",10,"pyke",6
"sion",18,"rumble",14,"vayne",12,"aurelionsol",9,"sylas",6
"ekko",17,"taliyah",14,"zoe",12,"kayle",9,"wukong",6
"evelynn",17,"viktor",14,"anivia",11,"kayn",9,"xayah",6
"jinx",17,"zac",14,"chogath",11,"kennen",9,"blitzcrank",5
"kalista",17,"ahri",13,"darius",11,"mordekaiser",9,"nami",5
"kassadin",17,"ashe",13,"fiddlesticks",11,"morgana",9,"neeko",5
"elise",16,"bard",13,"jayce",11,"veigar",9,"twistedfate",5
"ezreal",16,"drmundo",13,"leona",11,"volibear",9,"diana",4
"galio",16,"jax",13,"masteryi",11,"brand",8,NA,NA
"gragas",16,"jhin",13,"singed",11,"braum",8,NA,NA
